Utbildning,Nivå,Grundläggande behörighet,Särskild behörighet,Andra villkor,Organisatör/Länk
Företagssäljare B2B,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8969
Behandlingspedagog - Socialpedagog,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8971
.NET Utvecklare,YH,Okänd,"Engelska 6, 100p; Matematik 2, 100p; Programmering 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8972
Digital Marketing Manager,YH,Okänd,"Engelska 6, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8975
Front End Developer,YH,Okänd,"Webbutveckling 1, 100p; Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8977
Webbutvecklare inom e-handel,YH,Okänd,"Webbutveckling 1, 100p; Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8978
Fullstack Developer,YH,Okänd,"Webbutveckling 1, 100p; Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8979
Fastighetsförvaltare,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8980
Drift- och Fastighetstekniker,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8981
Säljare B2B,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8984
Säljare B2B,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8985
Medicinsk vårdadministratör,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p; Engelska 6, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8986
Hållbar Produktionsutveckling Industri 4.0,YH,Okänd,"Teknik 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8987
Hållbar Produktionsutveckling Industri 4.0,YH,Okänd,"Teknik 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8988
Trafiklärare,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8989
Facility Management,YH,Okänd,"Engelska 6, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8990
Automationsingenjör robotik,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p; Praktisk ellära, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8992
Säkerhetsingenjör,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8994
Tullspecialist,YH,Okänd,"Engelska 6, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8995
Kvalificerat inköp och upphandling,YH,Okänd,"Engelska 6, 100p; Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8996
Digital marknadsförare,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8997
Flygtekniker,YH,Okänd,"Engelska 6, 100p; Fysik 1, 150p; Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8998
CAD-ingenjör processindustri,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=8999
Byggprojektör BIM,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9000
Förädlingsodlare,YH,Okänd,"Trädgårdsodling , 100p; Trädgårdsodling- frukt, bär och grönsaker, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9001
Arbetsledare bygg och anläggning,YH,Okänd,"Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9003
Byggnadsingenjör hållbart byggande,YH,Okänd,"Bygg och anläggning 1, 200p; Matematik 2a, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9007
Webbutvecklare .NET,YH,Okänd,"Matematik 2, 100p; Programmering 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9008
"Mjukvaruutvecklare, Inbyggda system och IoT",YH,Okänd,"Matematik 2, 100p; Programmering 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9010
Facility Management,YH,Okänd,"Engelska 6, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9011
Skräddare,YH,Okänd,"Hantverksteknik 1, 200p; Hantverksteknik 2, 200p; Hantverksteknik 3, 200p; Hantverksteknik 4, 200p; Mönsterkonstruktion 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9012
Byggnadsingenjör Energi och ROT,YH,Okänd,"Bygg och anläggning 1, 200p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9013
Solenergiprojektör,YH,Okänd,"Praktisk ellära, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9014
